"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Diffusion 4.nlogo"
"social-influence-experiment"
"07/03/2024 18:41:00:024 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","density","frac-influential","number-of-agents","network","social-influence","broadcast-influence","influential-weight","[step]","count turtles with [adopted?]","count regulars with [adopted?]","count influentials with [adopted?]"
"38","0.3","0.3","100","random","0.8","0.2","0.7","2","62","45","17"
"37","0.3","0.3","100","random","0.7","0.2","0.7","1","20","17","3"
"38","0.3","0.3","100","random","0.8","0.2","0.7","3","86","59","27"
"38","0.3","0.3","100","random","0.8","0.2","0.7","4","97","67","30"
"38","0.3","0.3","100","random","0.8","0.2","0.7","5","100","70","30"
"37","0.3","0.3","100","random","0.7","0.2","0.7","2","43","31","12"
"37","0.3","0.3","100","random","0.7","0.2","0.7","3","65","47","18"
"37","0.3","0.3","100","random","0.7","0.2","0.7","4","87","61","26"
"37","0.3","0.3","100","random","0.7","0.2","0.7","5","98","70","28"
"39","0.3","0.3","100","random","0.9","0.2","0.7","0","0","0","0"
"37","0.3","0.3","100","random","0.7","0.2","0.7","6","99","70","29"
"40","0.3","0.3","100","random","1","0.2","0.7","0","0","0","0"
"37","0.3","0.3","100","random","0.7","0.2","0.7","7","100","70","30"
"39","0.3","0.3","100","random","0.9","0.2","0.7","1","29","23","6"
"40","0.3","0.3","100","random","1","0.2","0.7","1","24","18","6"
"39","0.3","0.3","100","random","0.9","0.2","0.7","2","72","53","19"
"40","0.3","0.3","100","random","1","0.2","0.7","2","64","45","19"
"39","0.3","0.3","100","random","0.9","0.2","0.7","3","93","67","26"
